Model,T,Efficiency,AvgError
CAEDDBM,5,0.97,0.0106114
PDEDDBM,5,0.92,0.0194037
CAEDDBM,10,0.97,0.0168866
PDEDDBM,10,0.97,0.016307
CAEDDBM,15,0.98,0.0239924
PDEDDBM,15,0.97,0.0196259
CAEDDBM,20,0.96,0.015727
PDEDDBM,20,0.96,0.0144953
CAEDDBM,25,0.99,0.0135732
PDEDDBM,25,0.97,0.0133617
CAEDDBM,30,1,0.0171701
PDEDDBM,30,0.98,0.0170695
