Model,T,Efficiency,AvgError
CAEDDBM,10,1,0
PDEDDBM,10,1,0
CAEDDBM,50,1,0
PDEDDBM,50,1,0
CAEDDBM,100,1,0
PDEDDBM,100,1,0
CAEDDBM,200,1,0
PDEDDBM,200,1,0
CAEDDBM,500,1,0
PDEDDBM,500,1,0
