Model,T,Efficiency,AvgError
CAEDDBM,5,0.91,0.00275102
PDEDDBM,5,0.8,0.00335159
CAEDDBM,10,0.95,0.00614215
PDEDDBM,10,0.91,0.0095607
CAEDDBM,15,0.97,0.00739232
PDEDDBM,15,0.94,0.00854843
CAEDDBM,20,0.97,0.00713155
PDEDDBM,20,0.94,0.00667657
CAEDDBM,25,0.99,0.00590862
PDEDDBM,25,0.93,0.00576521
CAEDDBM,30,0.98,0.00341555
PDEDDBM,30,0.94,0.0032243
