Model,T,Efficiency,AvgError
CAEDDBM,5,0.9,0.000197966
PDEDDBM,5,0.86,0.000295476
CAEDDBM,10,0.91,9.64212e-005
PDEDDBM,10,0.91,2.75634e-005
CAEDDBM,15,0.95,0.000285819
PDEDDBM,15,0.93,0.000803177
CAEDDBM,20,0.94,0.000694049
PDEDDBM,20,0.9,0.00110151
CAEDDBM,25,0.92,0.000256377
PDEDDBM,25,0.91,9.48617e-005
CAEDDBM,30,0.95,9.05692e-005
PDEDDBM,30,0.95,0.000148849
