Model,T,Efficiency,AvgError
CAEDDBM,5,1,0
PDEDDBM,5,1,0
CAEDDBM,10,1,0
PDEDDBM,10,1,0
CAEDDBM,15,1,0
PDEDDBM,15,1,0
CAEDDBM,20,1,0
PDEDDBM,20,1,0
CAEDDBM,25,1,0
PDEDDBM,25,1,0
CAEDDBM,30,1,0
PDEDDBM,30,1,0
