Model,T,Efficiency,AvgError
CAEDDBM,10,0.98,0.0131792
PDEDDBM,10,0.93,0.00494731
CAEDDBM,50,0.99,0.00962898
PDEDDBM,50,0.97,0.00684783
CAEDDBM,100,1,0.00491669
PDEDDBM,100,0.98,0.00495475
CAEDDBM,200,1,0.00488537
PDEDDBM,200,0.98,0.0050625
CAEDDBM,500,1,0.0048976
PDEDDBM,500,0.98,0.00479717
