name,topology,nodes,edges,tau,bf_time_ms,smart_time_ms,speedup,bf_optimality,smart_optimality,error_pct,same_edge,bf_edge,smart_edge,bf_reduction,smart_reduction,bf_cands,smart_cands
Barbell_m10,Barbell,23,94,0.2,243.46,6.35,38.31,100.0,100.0,0.0,True,"[10, 12]","[10, 12]",0.52380952,0.52380952,159,4
Barbell_m10,Barbell,23,94,0.25,206.21,5.93,34.78,100.0,100.0,0.0,True,"[10, 12]","[10, 12]",0.52380952,0.52380952,159,4
Barbell_m12,Barbell,28,137,0.05,462.03,9.25,49.93,100.0,100.0,0.0,True,"[13, 15]","[13, 15]",0.51851852,0.51851852,241,4
Barbell_m12,Barbell,28,137,0.1,458.04,9.12,50.2,100.0,100.0,0.0,True,"[13, 15]","[13, 15]",0.51851852,0.51851852,241,4
Barbell_m12,Barbell,28,137,0.15,494.41,9.2,53.74,100.0,100.0,0.0,True,"[13, 15]","[13, 15]",0.51851852,0.51851852,241,4
Barbell_m12,Barbell,28,137,0.2,450.54,9.22,48.87,100.0,100.0,0.0,True,"[13, 15]","[13, 15]",0.51851852,0.51851852,241,4
Barbell_m12,Barbell,28,137,0.25,484.24,11.46,42.27,100.0,100.0,0.0,True,"[13, 15]","[13, 15]",0.51851852,0.51851852,241,4
Star_n15,Star,15,14,0.05,36.04,18.79,1.92,100.0,100.0,0.0,False,"[1, 2]","[13, 14]",0.01098901,0.01098901,91,50
Star_n15,Star,15,14,0.1,53.71,19.13,2.81,100.0,100.0,0.0,False,"[1, 2]","[13, 14]",0.01098901,0.01098901,91,50
Star_n15,Star,15,14,0.15,35.46,18.92,1.87,100.0,100.0,0.0,False,"[1, 2]","[13, 14]",0.01098901,0.01098901,91,50
Star_n15,Star,15,14,0.2,80.73,20.87,3.87,100.0,100.0,0.0,False,"[1, 2]","[13, 14]",0.01098901,0.01098901,91,50
Star_n15,Star,15,14,0.25,43.1,19.08,2.26,100.0,100.0,0.0,False,"[1, 2]","[13, 14]",0.01098901,0.01098901,91,50
Star_n20,Star,20,19,0.05,110.27,32.58,3.38,100.0,100.0,0.0,False,"[1, 2]","[18, 19]",0.00584795,0.00584795,171,50
Star_n20,Star,20,19,0.1,111.42,67.99,1.64,100.0,100.0,0.0,False,"[1, 2]","[18, 19]",0.00584795,0.00584795,171,50
Star_n20,Star,20,19,0.15,133.43,33.12,4.03,100.0,100.0,0.0,False,"[1, 2]","[18, 19]",0.00584795,0.00584795,171,50
Star_n20,Star,20,19,0.2,115.67,31.86,3.63,100.0,100.0,0.0,False,"[1, 2]","[18, 19]",0.00584795,0.00584795,171,50
Star_n20,Star,20,19,0.25,113.56,32.32,3.51,100.0,100.0,0.0,False,"[1, 2]","[18, 19]",0.00584795,0.00584795,171,50
Star_n25,Star,25,24,0.05,269.35,49.94,5.39,100.0,100.0,0.0,False,"[1, 2]","[23, 24]",0.00362319,0.00362319,276,50
Star_n25,Star,25,24,0.1,300.03,56.47,5.31,100.0,100.0,0.0,False,"[1, 2]","[23, 24]",0.00362319,0.00362319,276,50
Star_n25,Star,25,24,0.15,296.69,49.33,6.01,100.0,100.0,0.0,False,"[1, 2]","[23, 24]",0.00362319,0.00362319,276,50
Star_n25,Star,25,24,0.2,282.18,51.73,5.45,100.0,100.0,0.0,False,"[1, 2]","[23, 24]",0.00362319,0.00362319,276,50
Star_n25,Star,25,24,0.25,267.76,48.83,5.48,100.0,100.0,0.0,False,"[1, 2]","[23, 24]",0.00362319,0.00362319,276,50
Tree_n20,RandomTree,20,19,0.05,135.54,16.46,8.24,100.0,100.0,0.0,False,"[3, 16]","[9, 16]",0.26315789,0.26315789,171,23
Tree_n20,RandomTree,20,19,0.1,164.35,16.11,10.2,100.0,100.0,0.0,False,"[3, 16]","[9, 16]",0.26315789,0.26315789,171,23
Tree_n20,RandomTree,20,19,0.15,211.21,16.22,13.02,100.0,100.0,0.0,False,"[3, 16]","[9, 16]",0.26315789,0.26315789,171,23
Tree_n20,RandomTree,20,19,0.2,130.93,22.09,5.93,100.0,100.0,0.0,False,"[3, 16]","[9, 16]",0.26315789,0.26315789,171,23
Tree_n20,RandomTree,20,19,0.25,155.25,16.05,9.67,100.0,100.0,0.0,False,"[3, 16]","[9, 16]",0.26315789,0.26315789,171,23
Tree_n30,RandomTree,30,29,0.05,682.54,71.32,9.57,100.0,100.0,0.0,True,"[0, 19]","[0, 19]",0.32019704,0.32019704,406,32
Tree_n30,RandomTree,30,29,0.1,604.13,48.28,12.51,100.0,100.0,0.0,True,"[0, 19]","[0, 19]",0.32019704,0.32019704,406,32
Tree_n30,RandomTree,30,29,0.15,698.43,53.65,13.02,100.0,100.0,0.0,True,"[0, 19]","[0, 19]",0.32019704,0.32019704,406,32
Tree_n30,RandomTree,30,29,0.2,847.62,45.93,18.45,100.0,100.0,0.0,True,"[0, 19]","[0, 19]",0.32019704,0.32019704,406,32
Tree_n30,RandomTree,30,29,0.25,634.97,92.5,6.86,100.0,100.0,0.0,True,"[0, 19]","[0, 19]",0.32019704,0.32019704,406,32
Tree_n40,RandomTree,40,39,0.05,1870.43,76.82,24.35,100.0,100.0,0.0,True,"[1, 20]","[1, 20]",0.26450742,0.26450742,741,31
Tree_n40,RandomTree,40,39,0.1,1869.67,78.2,23.91,100.0,100.0,0.0,True,"[1, 20]","[1, 20]",0.26450742,0.26450742,741,31
Tree_n40,RandomTree,40,39,0.15,1866.0,76.79,24.3,100.0,100.0,0.0,True,"[1, 20]","[1, 20]",0.26450742,0.26450742,741,31
Tree_n40,RandomTree,40,39,0.2,1785.73,76.4,23.37,100.0,100.0,0.0,True,"[1, 20]","[1, 20]",0.26450742,0.26450742,741,31
Tree_n40,RandomTree,40,39,0.25,1797.21,104.12,17.26,100.0,100.0,0.0,True,"[1, 20]","[1, 20]",0.26450742,0.26450742,741,31
PLC_n30,PowerlawCluster,30,56,0.05,642.62,85.19,7.54,100.0,0,100,False,"[5, 26]","[-1, -1]",0.00270936,0,379,50
PLC_n30,PowerlawCluster,30,56,0.1,640.76,86.46,7.41,100.0,5.24,94.76,False,"[0, 13]","[12, 25]",0.00862069,0.00045156,379,50
PLC_n30,PowerlawCluster,30,56,0.15,681.61,86.25,7.9,100.0,3.47,96.53,False,"[20, 29]","[12, 25]",0.01301314,0.00045156,379,50
PLC_n30,PowerlawCluster,30,56,0.2,639.27,86.8,7.37,100.0,23.89,76.11,False,"[20, 28]","[12, 23]",0.0164966,0.00394089,379,50
PLC_n30,PowerlawCluster,30,56,0.25,650.16,86.33,7.53,100.0,25.85,74.15,False,"[0, 17]","[12, 19]",0.02175698,0.00562397,379,50
PLC_n50,PowerlawCluster,50,96,0.05,6401.51,251.81,25.42,100.0,0,100,False,"[13, 29]","[-1, -1]",0.00099206,0,1129,50
PLC_n50,PowerlawCluster,50,96,0.1,7531.32,344.86,21.84,100.0,30.93,69.07,False,"[19, 33]","[44, 48]",0.00574685,0.0017773,1129,50
PLC_n50,PowerlawCluster,50,96,0.15,5596.08,263.83,21.21,100.0,40.45,59.55,False,"[11, 42]","[39, 44]",0.00756367,0.0030592,1129,50
PLC_n50,PowerlawCluster,50,96,0.2,5341.99,258.45,20.67,100.0,38.49,61.51,False,"[19, 31]","[37, 39]",0.01134977,0.00436812,1129,50
PLC_n50,PowerlawCluster,50,96,0.25,5226.42,234.26,22.31,100.0,68.59,31.41,False,"[9, 29]","[28, 48]",0.0142138,0.00974922,1129,50
Cave_4x5,Caveman,20,40,0.1,119.94,20.7,5.79,100.0,100.0,0.0,True,"[10, 11]","[10, 11]",0.02436647,0.02436647,150,24
Cave_4x5,Caveman,20,40,0.15,119.26,19.91,5.99,100.0,100.0,0.0,True,"[10, 11]","[10, 11]",0.02436647,0.02436647,150,24
Cave_4x5,Caveman,20,40,0.2,124.79,20.01,6.24,100.0,100.0,0.0,True,"[10, 11]","[10, 11]",0.02436647,0.02436647,150,24
Cave_4x5,Caveman,20,40,0.25,118.31,19.63,6.03,100.0,100.0,0.0,True,"[10, 11]","[10, 11]",0.02436647,0.02436647,150,24
Cave_5x5,Caveman,25,50,0.05,345.7,29.71,11.64,100.0,100.0,0.0,True,"[15, 16]","[15, 16]",0.01388889,0.01388889,250,24
Cave_5x5,Caveman,25,50,0.1,376.99,29.71,12.69,100.0,100.0,0.0,True,"[15, 16]","[15, 16]",0.01388889,0.01388889,250,24
Cave_5x5,Caveman,25,50,0.15,297.93,31.68,9.41,100.0,100.0,0.0,True,"[15, 16]","[15, 16]",0.01388889,0.01388889,250,24
Cave_5x5,Caveman,25,50,0.2,302.95,29.51,10.27,100.0,100.0,0.0,True,"[15, 16]","[15, 16]",0.01388889,0.01388889,250,24
Cave_5x5,Caveman,25,50,0.25,344.94,30.31,11.38,100.0,100.0,0.0,True,"[15, 16]","[15, 16]",0.01388889,0.01388889,250,24
Cave_4x6,Caveman,24,60,0.15,258.37,42.31,6.11,100.0,100.0,0.0,True,"[6, 7]","[6, 7]",0.01689723,0.01689723,216,35
Cave_4x6,Caveman,24,60,0.2,256.18,42.03,6.1,100.0,100.0,0.0,True,"[6, 7]","[6, 7]",0.01689723,0.01689723,216,35
Cave_4x6,Caveman,24,60,0.25,258.41,42.33,6.1,100.0,100.0,0.0,True,"[6, 7]","[6, 7]",0.01689723,0.01689723,216,35
