T,Dataset,Model,Efficiency,AvgError
39,as20000102,PDEDDBM,97.2,0.0473587
40,as20000102,EDDBM,97.6,0.0430559
40,as20000102,CAEDDBM,98.2,0.0293443
40,as20000102,PDEDDBM,97.2,0.046301
41,as20000102,EDDBM,97.6,0.0426721
41,as20000102,CAEDDBM,98.2,0.030157
41,as20000102,PDEDDBM,97.2,0.0469397
42,as20000102,EDDBM,97.6,0.0422851
42,as20000102,CAEDDBM,98.2,0.030297
42,as20000102,PDEDDBM,97,0.0466702
43,as20000102,EDDBM,97.6,0.0421627
43,as20000102,CAEDDBM,98.2,0.0301135
43,as20000102,PDEDDBM,97,0.0487028
44,as20000102,EDDBM,97.6,0.04198
44,as20000102,CAEDDBM,98.2,0.0303257
44,as20000102,PDEDDBM,97,0.0495911
45,as20000102,EDDBM,97.6,0.0416865
45,as20000102,CAEDDBM,98.2,0.0298663
45,as20000102,PDEDDBM,97,0.0526756
46,as20000102,EDDBM,97.6,0.0410107
46,as20000102,CAEDDBM,98.2,0.0326406
46,as20000102,PDEDDBM,97,0.0525324
47,as20000102,EDDBM,97.6,0.0410408
47,as20000102,CAEDDBM,98.2,0.0328774
47,as20000102,PDEDDBM,97.4,0.0521874
48,as20000102,EDDBM,97.6,0.0404924
48,as20000102,CAEDDBM,98.2,0.033185
48,as20000102,PDEDDBM,97.4,0.0513197
49,as20000102,EDDBM,97.6,0.0398748
49,as20000102,CAEDDBM,98.2,0.0330058
49,as20000102,PDEDDBM,97.6,0.0503055
50,as20000102,EDDBM,97.6,0.0400418
50,as20000102,CAEDDBM,98.2,0.0332596
50,as20000102,PDEDDBM,97.6,0.0497015
51,as20000102,EDDBM,97.6,0.0395918
51,as20000102,CAEDDBM,98.2,0.0333833
51,as20000102,PDEDDBM,97.6,0.0489258
52,as20000102,EDDBM,97.8,0.0400749
52,as20000102,CAEDDBM,98.2,0.0338027
52,as20000102,PDEDDBM,97.6,0.0478682
53,as20000102,EDDBM,97.8,0.0400886
53,as20000102,CAEDDBM,98.2,0.0332262
53,as20000102,PDEDDBM,97.6,0.0484497
54,as20000102,EDDBM,97.8,0.0398759
54,as20000102,CAEDDBM,98.2,0.0327578
54,as20000102,PDEDDBM,97.6,0.0477029
55,as20000102,EDDBM,97.8,0.0396433
55,as20000102,CAEDDBM,98,0.033401
55,as20000102,PDEDDBM,97.6,0.0469221
56,as20000102,EDDBM,97.8,0.0395438
56,as20000102,CAEDDBM,98,0.0328591
56,as20000102,PDEDDBM,97.6,0.046762
