T,Dataset,Model,Efficiency,AvgError
40,Wiki-Vote,CAEDDBM,98.2,0.55036
40,Wiki-Vote,PDEDDBM,96.6,0.528526
41,Wiki-Vote,EDDBM,98.6,0.530466
41,Wiki-Vote,CAEDDBM,98.4,0.548458
41,Wiki-Vote,PDEDDBM,96.6,0.526016
42,Wiki-Vote,EDDBM,98.8,0.532509
42,Wiki-Vote,CAEDDBM,98.4,0.558326
42,Wiki-Vote,PDEDDBM,96.6,0.52959
43,Wiki-Vote,EDDBM,99,0.533541
43,Wiki-Vote,CAEDDBM,98.8,0.555218
43,Wiki-Vote,PDEDDBM,97.2,0.527911
44,Wiki-Vote,EDDBM,99.2,0.53217
44,Wiki-Vote,CAEDDBM,98.8,0.554303
44,Wiki-Vote,PDEDDBM,97.2,0.526555
45,Wiki-Vote,EDDBM,99,0.529985
45,Wiki-Vote,CAEDDBM,98.4,0.557435
45,Wiki-Vote,PDEDDBM,97,0.527192
46,Wiki-Vote,EDDBM,99.2,0.528682
46,Wiki-Vote,CAEDDBM,98,0.556217
46,Wiki-Vote,PDEDDBM,96.8,0.523226
47,Wiki-Vote,EDDBM,99.2,0.526327
47,Wiki-Vote,CAEDDBM,97.6,0.554325
47,Wiki-Vote,PDEDDBM,96.4,0.523476
48,Wiki-Vote,EDDBM,99.2,0.524162
48,Wiki-Vote,CAEDDBM,98,0.552789
48,Wiki-Vote,PDEDDBM,96.6,0.52243
49,Wiki-Vote,EDDBM,99.2,0.523065
49,Wiki-Vote,CAEDDBM,97.8,0.551681
49,Wiki-Vote,PDEDDBM,96.4,0.517437
50,Wiki-Vote,EDDBM,99.2,0.533251
50,Wiki-Vote,CAEDDBM,98,0.552719
50,Wiki-Vote,PDEDDBM,96.2,0.517985
51,Wiki-Vote,EDDBM,99.4,0.533631
51,Wiki-Vote,CAEDDBM,98,0.551495
51,Wiki-Vote,PDEDDBM,96.6,0.518766
52,Wiki-Vote,EDDBM,99.6,0.531982
52,Wiki-Vote,CAEDDBM,98.2,0.559344
52,Wiki-Vote,PDEDDBM,96.6,0.521437
53,Wiki-Vote,EDDBM,99.2,0.5314
